w L
  0.000 -107.744
1000.000 -107.744
2000.000 -107.744
3000.000 -107.744
4000.000 -107.744
5000.000 -107.744
6000.000 -107.744
7000.000 -107.744
8000.000 -107.744
9000.000 -107.744
10000.000 -107.744
11000.000 -107.744
12000.000 -107.744
13000.000 -107.744
14000.000 -107.744
15000.000 -107.744
16000.000 -107.744
17000.000 -107.744
18000.000 -107.744
19000.000 -107.744
20000.000 -107.744
21000.000 -108.168
22000.000 -108.572
23000.000 -108.958
24000.000 -109.328
25000.000 -109.683
26000.000 -110.023
27000.000 -110.351
28000.000 -110.667
29000.000 -110.972
30000.000 -111.266
31000.000 -111.551
32000.000 -111.827
33000.000 -112.094
34000.000 -112.353
35000.000 -112.605
36000.000 -112.850
37000.000 -113.088
38000.000 -113.319
39000.000 -113.545
40000.000 -113.765
41000.000 -113.979
42000.000 -114.189
43000.000 -114.393
44000.000 -114.593
45000.000 -114.788
46000.000 -114.979
47000.000 -115.166
48000.000 -115.349
49000.000 -115.528
50000.000 -115.703
51000.000 -115.875
52000.000 -116.044
53000.000 -116.209
54000.000 -116.372
55000.000 -116.531
56000.000 -116.687
57000.000 -116.841
58000.000 -116.992
59000.000 -117.141
60000.000 -117.287
61000.000 -117.430
62000.000 -117.572
63000.000 -117.711
64000.000 -117.847
65000.000 -117.982
66000.000 -118.115
67000.000 -118.245
68000.000 -118.374
69000.000 -118.501
70000.000 -118.626
71000.000 -118.749
72000.000 -118.870
73000.000 -118.990
74000.000 -119.108
75000.000 -119.225
76000.000 -119.340
77000.000 -119.454
78000.000 -119.566
79000.000 -119.676
80000.000 -119.786
81000.000 -119.893
82000.000 -120.000
83000.000 -120.105
84000.000 -120.209
85000.000 -120.312
86000.000 -120.414
87000.000 -120.514
88000.000 -120.613
89000.000 -120.712
90000.000 -120.809
91000.000 -120.905
92000.000 -120.999
93000.000 -121.093
94000.000 -121.186
95000.000 -121.278
96000.000 -121.369
97000.000 -121.459
98000.000 -121.548
99000.000 -121.636
100000.000 -121.724
101000.000 -121.810
102000.000 -121.896
103000.000 -121.980
104000.000 -122.064
105000.000 -122.148
106000.000 -122.230
107000.000 -122.311
108000.000 -122.392
109000.000 -122.472
110000.000 -122.552
111000.000 -122.630
112000.000 -122.708
113000.000 -122.785
114000.000 -122.862
115000.000 -122.938
116000.000 -123.013
117000.000 -123.087
118000.000 -123.161
119000.000 -123.235
120000.000 -123.307
121000.000 -123.379
122000.000 -123.451
123000.000 -123.522
124000.000 -123.592
125000.000 -123.662
126000.000 -123.731
127000.000 -123.800
128000.000 -123.868
129000.000 -123.936
130000.000 -124.003
131000.000 -124.069
132000.000 -124.135
133000.000 -124.201
134000.000 -124.266
135000.000 -124.330
136000.000 -124.395
137000.000 -124.458
138000.000 -124.521
139000.000 -124.584
140000.000 -124.646
141000.000 -124.708
142000.000 -124.769
143000.000 -124.830
144000.000 -124.891
145000.000 -124.951
146000.000 -125.011
147000.000 -125.070
148000.000 -125.129
149000.000 -125.187
150000.000 -125.246
151000.000 -125.303
152000.000 -125.361
153000.000 -125.418
154000.000 -125.474
155000.000 -125.530
156000.000 -125.586
157000.000 -125.642
158000.000 -125.697
159000.000 -125.752
160000.000 -125.806
161000.000 -125.860
162000.000 -125.914
163000.000 -125.967
164000.000 -126.021
165000.000 -126.073
166000.000 -126.126
167000.000 -126.178
168000.000 -126.230
