w A L ugol
  0.010   0.333  -9.542  -0.382
  0.035   0.333  -9.541  -1.323
  0.041   0.333  -9.541  -1.548
  0.047   0.333  -9.540  -1.810
  0.055   0.333  -9.539  -2.117
  0.065   0.333  -9.538  -2.476
  0.076   0.334  -9.537  -2.897
  0.089   0.334  -9.535  -3.388
  0.100   0.334  -9.533  -3.827
  0.104   0.334  -9.532  -3.965
  0.121   0.334  -9.528  -4.639
  0.142   0.334  -9.523  -5.431
  0.166   0.334  -9.516  -6.359
  0.194   0.335  -9.507  -7.450
  0.227   0.335  -9.494  -8.734
  0.265   0.336  -9.477 -10.249
  0.310   0.337  -9.453 -12.042
  0.362   0.338  -9.422 -14.172
  0.424   0.340  -9.382 -16.717
  0.495   0.342  -9.330 -19.780
  0.579   0.344  -9.264 -23.498
  0.677   0.347  -9.187 -28.061
  0.792   0.351  -9.106 -33.730
  0.926   0.353  -9.042 -40.854
  1.000   0.354  -9.031 -45.000
  1.083   0.353  -9.047 -49.859
  1.267   0.346  -9.225 -61.147
  1.481   0.326  -9.743 -74.776
  1.732   0.289 -10.792 -90.000
  2.025   0.238 -12.461 -105.224
  2.369   0.185 -14.661 -118.853
  2.770   0.138 -17.202 -130.141
  3.239   0.101 -19.915 -139.146
  3.788   0.073 -22.697 -146.270
  4.429   0.053 -25.497 -151.939
  5.179   0.038 -28.293 -156.502
  6.057   0.028 -31.076 -160.220
  7.083   0.020 -33.847 -163.283
  8.282   0.015 -36.606 -165.828
  9.685   0.011 -39.355 -167.958
 10.000   0.010 -39.916 -168.350
 11.326   0.008 -42.097 -169.751
 13.244   0.006 -44.832 -171.266
 15.488   0.004 -47.564 -172.550
 18.111   0.003 -50.292 -173.641
 21.179   0.002 -53.017 -174.569
 24.766   0.002 -55.740 -175.361
 28.961   0.001 -58.462 -176.035
 33.867   0.001 -61.184 -176.612
 39.604   0.001 -63.904 -177.103
 46.312   0.000 -66.624 -177.524
 54.157   0.000 -69.343 -177.883
 63.331   0.000 -72.062 -178.190
 74.058   0.000 -74.781 -178.452
 86.603   0.000 -77.500 -178.677
100.000   0.000 -79.999 -178.854
