w lgw A L psi ugol
  0.500  -0.301  14.795  23.402  -0.109 -6.216592
  2.000   0.301  13.927  22.877  -0.380 -21.772396
  3.500   0.544  12.288  21.790  -0.609 -34.893130
  5.000   0.699  10.607  20.512  -0.785 -44.977187
  7.500   0.875   8.321  18.403  -0.983 -56.293103
 10.000   1.000   6.708  16.532  -1.100 -63.025357
 15.000   1.176   4.743  13.522  -1.245 -71.333245
 30.000   1.477   2.466   7.840  -1.380 -79.068176
 40.000   1.602   1.861   5.393  -1.440 -82.505922
 50.000   1.699   1.493   3.479  -1.450 -83.078880
