w lgw A L psi ugol
  0.500  -0.301  29.851  29.499  -1.671 -95.712600
  2.000   0.301   6.964  16.857  -1.952 -111.841362
  3.500   0.544   3.511  10.909  -2.180 -124.933447
  5.000   0.699   2.121   6.532  -2.355 -134.931561
  7.500   0.875   1.109   0.902  -2.550 -146.104238
 10.000   1.000   0.671  -3.468  -2.670 -152.979731
 15.000   1.176   0.316 -10.000  -2.820 -161.574098
 30.000   1.477   0.082 -21.703  -2.970 -170.168465
 40.000   1.602   0.047 -26.649  -3.000 -171.887339
 50.000   1.699   0.030 -30.501  -3.000 -171.887339
